"I_CZP03500"
"I_LEP02700"
"I_NUL17530"
"I_CZL20330"
"I_BZX00100"
"I_SPX02400"
"I_SVL21700"
"I_LEX00400"
"I_FEX01700"
"I_GEX07300"
"I_SIX04300"
"I_TSX00100"
"I_SVL11900"
"I_SVL12200"
"I_SSL16000"
"I_CNX00100"
"I_LIX06400"
"I_TNX00100"
"I_TSX00200"
"I_CSX00500"
"I_SSL16400"
"I_SSL14000"
"I_SVL13800"
"I_BZX02600"
"I_CSX00600"
"I_MIX09700"
"I_RCX00100"
"I_PVX00100"
"I_SVL16100"
"I_SVL17800"
"I_SVL18400"
"I_COX00100"
"I_ANX00100"
"I_RCX00500"
"I_ALX00100"
"I_COX00200"
"I_SVL18500"
"I_CEL13000"
"I_CEL13200"
"I_CBX00100"
"I_MCX02900"
"I_RAX00100"
"I_UDX00100"
"I_CNX00200"
"I_SVL19200"
"I_SRL04000"
"I_SRL07500"
"I_CEL13700"
"I_CEL01700"
"I_TPX00300"
"I_LIX00200"
"I_SOX00200"
"I_SOX00100"
"I_GEX00100"
"I_SRL00400"
"I_SSL11300"
"I_SSL12000"
"I_CEL02800"
"I_FIX00100"
"I_FIX00200"
"I_TOX00100"
"I_SIX00100"
"I_PIX00400"
"I_SSL12100"
"I_SSL08000"
"I_SSL08900"
"I_AVX00100"
"I_RMX00100"
"I_APX00100"
"I_NAX01300"
"I_FOX00200"
"I_SSL02700"
"I_SSL03800"
"I_SSL04300"
"I_FGX00100"
"I_RMX00400"
"I_ARX00100"
"I_MIX00200"
"I_TEX00100"
"I_SSL05000"
"I_SSL05200"
"I_SSL07100"
"I_ALX00200"
"I_CTX00100"
"I_BOX03700"
"I_CRX00300"
"I_VCP01800"
"I_CAL03000"
"I_CAL03200"
"I_BZL01100"
"I_NOX02900"
"I_ROX00200"
"I_NUX00100"
"I_RMX02100"
"I_VCX00100"
"I_BZL01900"
"I_BSL31400"
"I_BSL32200"
"I_LIX00400"
"I_MEX06000"
"I_BGX00200"
"I_CAX00900"
"I_BRX04000"
"I_CAL33100"
"I_CBL03600"
"I_CBL01000"
"I_BRX00100"
"I_MCX00200"
"I_GOX00100"
"I_RIX00100"
"I_CSX00400"
"I_CAL08400"
"I_CAL10600"
"I_CAL11200"
"I_PEX00300"
"I_LUX00700"
"I_NAX03600"
"I_MIX06700"
"I_SPX00100"
"I_TAX01600"
"I_CAL13000"
"I_CAL14000"
"I_SVX00100"
"I_FOX00300"
"I_BSX00300"
"I_BNX00100"
